Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_BRK.B,Predicted_Covariance,Future_Cov_45_BRK.B,Beta_Predicted
2014-03-03,5.060228536900576e-05,0.7639819600036415,7.34556391768012e-05,0.7958780082683944,4.657798969346756e-05,4.0621484912432666e-05,0.920472056821309
2014-03-04,5.593664385448813e-05,0.7741433436760355,8.108748578507078e-05,0.7813575087202567,5.213705596581737e-05,3.706907111495441e-05,0.9320733668155906
2014-03-05,4.9068183379191435e-05,0.7284821843116427,7.977367151260405e-05,0.7844056170236876,4.557731272738981e-05,3.7221245950330775e-05,0.9288567374743689
2014-03-06,4.928243059442446e-05,0.7268180780628213,8.382826682281319e-05,0.7694229028639392,4.671614781678353e-05,3.645857304294734e-05,0.9479270249724399
2014-03-07,4.8971813978785636e-05,0.7250452914892913,8.282666149436502e-05,0.7292506254063222,4.61767443785111e-05,3.6076032960017336e-05,0.9429249322582711
2014-03-10,4.912023117884392e-05,0.7351578278217801,7.94792820067712e-05,0.7341921754911227,4.593436896350719e-05,3.632047908940558e-05,0.9351415467949002
2014-03-11,5.148937537691702e-05,0.7426854157894238,7.799075386124509e-05,0.7525474877136948,4.706361324926798e-05,3.719286120977974e-05,0.9140451385309846
2014-03-12,4.8906113932888686e-05,0.7107192918274859,7.254864630352934e-05,0.7636093902923786,4.2334490601751354e-05,3.91244391360515e-05,0.8656277752888887
2014-03-13,5.192240840939531e-05,0.7077126480487107,7.564821007024467e-05,0.7427413493236331,4.435409271810673e-05,3.6022533907903946e-05,0.8542379692479923
2014-03-14,5.053194068255615e-05,0.7092686319708543,7.55553912877596e-05,0.7302922194024817,4.38254588247525e-05,3.5421238184394685e-05,0.8672823214937645
2014-03-17,5.312543808337814e-05,0.7129840570468822,7.450601893364054e-05,0.7440677258406787,4.485664213212078e-05,3.555869413893941e-05,0.8443533597166797
2014-03-18,5.3640183376897774e-05,0.7191029232383971,7.248283674979226e-05,0.7574864159739491,4.483877840720037e-05,3.6533659795157194e-05,0.835917694243229
2014-03-19,4.9711758607667365e-05,0.7084766632503942,7.07685721654494e-05,0.7528373623685259,4.202186562191044e-05,3.585286370149089e-05,0.8453103812631794
2014-03-20,4.924048797705463e-05,0.7020324324417228,7.290797576369861e-05,0.7179946931301887,4.206354494315719e-05,3.392374044348567e-05,0.8542471179968445
2014-03-21,5.1299807125194504e-05,0.6982619771132048,7.226906882065443e-05,0.7726294941520585,4.25160089081249e-05,3.572667515455648e-05,0.8287752194538821
2014-03-24,5.150721281894852e-05,0.6946577639561315,7.236822575439515e-05,0.7634201001098677,4.2411036016187026e-05,3.493354023877345e-05,0.8233999413881082
2014-03-25,5.187847468728203e-05,0.6942107236729617,7.192698238693539e-05,0.7707516090890327,4.2406344540312974e-05,3.533218121031913e-05,0.8174169498223289
2014-03-26,4.894688218699071e-05,0.6866859314651005,7.258006597050995e-05,0.7445919115721081,4.092883149324595e-05,3.305328478560232e-05,0.8361887349001399
2014-03-27,4.819111839496585e-05,0.6801534176210579,7.071645585512342e-05,0.7522705674108771,3.9705496462523795e-05,3.323519021397878e-05,0.8239173064444074
2014-03-28,4.77393720640184e-05,0.6753886722466415,6.460559869346732e-05,0.7641137629823581,3.750828446923934e-05,3.351531661615279e-05,0.78568868519973
2014-03-31,4.471229395078723e-05,0.6783924508364808,6.153220509423053e-05,0.7432898014306395,3.558325900476752e-05,3.1709829559571085e-05,0.7958271844413167
2014-04-01,4.637295349124256e-05,0.6772275378783104,6.216527836512686e-05,0.7694787916487061,3.636142787700197e-05,3.2805079730025006e-05,0.7841085188561205
2014-04-02,4.141854620280984e-05,0.6731387184159057,6.363856247488742e-05,0.777193527592133,3.455908039153849e-05,3.329812068791682e-05,0.8343866108268667
2014-04-03,4.131197301210188e-05,0.6713525129406968,6.397389712042574e-05,0.7759382557282322,3.451357851248639e-05,3.316770603564837e-05,0.8354376708751243
2014-04-04,4.5815215175484866e-05,0.6667901387676147,6.22635903751735e-05,0.8193978120791457,3.5613209442963237e-05,3.197299993684927e-05,0.7773227585323971
2014-04-07,4.72141155464609e-05,0.6639733017718484,6.074945979895514e-05,0.8338477166993897,3.555967281009941e-05,3.0092082038671838e-05,0.7531576605540143
2014-04-08,4.530353492960697e-05,0.613248873813758,5.358119205589573e-05,0.8463510169569897,3.0214053243928352e-05,3.1670177888049146e-05,0.6669248501441492
2014-04-09,4.691297863661334e-05,0.6320087780226603,5.7850707870353076e-05,0.8460782820893497,3.2924861229049046e-05,2.990573552968677e-05,0.7018284105147987
2014-04-10,5.810324280314903e-05,0.6619564021611261,6.472807937465527e-05,0.9352604182539764,4.0595316615262125e-05,2.246689215386651e-05,0.6986755756954408
2014-04-11,5.691804938589508e-05,0.6612046731221969,6.586914434480316e-05,0.9794150221715338,4.04857257937571e-05,2.1129511976023934e-05,0.7112985464289279
2014-04-14,5.793906540801691e-05,0.6390058604306059,6.253317342022678e-05,1.009317049990178,3.846323588006557e-05,2.1620290417728097e-05,0.663856684763567
2014-04-15,5.375893588153699e-05,0.6510597042945316,6.445737693257308e-05,0.974751254473649,3.832502637946281e-05,2.024481288365794e-05,0.7129052268429515
2014-04-16,3.1303883437837385e-05,0.6586888869886325,6.633775759653937e-05,0.8843847745268094,3.0016485328972684e-05,1.702859168946627e-05,0.9588741725472755
2014-04-17,3.0074876652121772e-05,0.6588956299357747,6.625023176518522e-05,0.8800300090311135,2.9411166889678123e-05,1.698378727477104e-05,0.9779314219599027
2014-04-21,3.398061258211898e-05,0.6411645440244328,6.573085449651801e-05,0.845100173774623,3.0301891520670144e-05,1.7143151939839242e-05,0.8917405902392523
2014-04-22,3.465237531876505e-05,0.6449992068304571,6.488624601271385e-05,0.8355269728655419,3.058454400027423e-05,1.6945565026312784e-05,0.8826103180208832
2014-04-23,3.661275306357103e-05,0.6471017631235587,6.403575105488131e-05,0.8449334641953546,3.13328594196387e-05,1.6983748514543458e-05,0.8557908596831054
2014-04-24,2.8915216768426475e-05,0.6198269235572883,5.8192492431567244e-05,0.8495334099962599,2.5425361850171163e-05,1.707283418464219e-05,0.8793073229848304
2014-04-25,3.367547480592454e-05,0.6170047859942577,5.634548100098468e-05,0.9774959581949724,2.6876638008342733e-05,1.779747177636468e-05,0.7981071733430857
2014-04-28,3.364553762091845e-05,0.609198030802783,5.5088414365734106e-05,0.97397006426331,2.622722626694129e-05,1.8322829897590927e-05,0.7795157432893874
2014-04-29,3.9441733334885286e-05,0.6154913438343577,5.435033594039209e-05,0.9610961379850508,2.849712596693901e-05,1.7807836534867382e-05,0.7225120084094776
2014-04-30,4.001418281063408e-05,0.6162601630151137,5.3697701852104596e-05,0.9982207225628712,2.856596633636463e-05,1.8742908795823356e-05,0.7138960321032222
2014-05-01,2.1991126094734782e-05,0.6319136670468549,5.2029741921760484e-05,1.0018372384525471,2.1375058826636932e-05,1.9265918565880713e-05,0.9719856425067132
2014-05-02,2.5114593555483047e-05,0.6349786840151871,5.200459540884613e-05,0.9568937409902208,2.2947907174523356e-05,1.9483302954966072e-05,0.9137279934006076
2014-05-05,2.3421323104644024e-05,0.6134535454853133,5.2477889270705175e-05,0.9722711166198308,2.1506788930524733e-05,2.0047602190225355e-05,0.9182567882452519
2014-05-06,2.3724080850696792e-05,0.6442030836665679,5.4984946604329956e-05,0.8847265823158593,2.326694701826687e-05,1.6818987585987687e-05,0.9807312310514025
2014-05-07,2.503936026433856e-05,0.6086861886172182,5.5243337295339004e-05,0.7822664077418586,2.2638362784891862e-05,1.4461145638877334e-05,0.9041110693684041
2014-05-08,2.245244272166245e-05,0.6254892593661879,5.084433805563708e-05,0.7665612127760384,2.1133574246365858e-05,1.4360058760240178e-05,0.9412594659901247
2014-05-09,2.6257615904936162e-05,0.6500288779834529,4.484151571077558e-05,0.7707871347233309,2.230490811436387e-05,1.45920248186273e-05,0.8494643304676711
2014-05-12,2.5472098693136958e-05,0.6500175785088094,4.12906260197134e-05,0.8343830740620433,2.1080611255095457e-05,1.4511403563438527e-05,0.8275961674400737
2014-05-13,2.7268227179962204e-05,0.6750077340239207,3.939305022702477e-05,0.8636492680211069,2.2123152118607236e-05,1.795643404789811e-05,0.8113161142673853
2014-05-14,2.54765910501542e-05,0.6987070320620944,3.9178238822283405e-05,0.931268086416272,2.2074365376509212e-05,2.0549635857666043e-05,0.8664567929458366
2014-05-15,2.174205444419079e-05,0.7269226799158983,3.950049301335214e-05,0.912209635048826,2.13029509085467e-05,1.8280774236900287e-05,0.9798039538181079
2014-05-16,2.0552751262807784e-05,0.7163200133973868,3.9393209909486664e-05,0.8921292904782684,2.0382279532143783e-05,1.797706061876765e-05,0.991705649113144
2014-05-19,2.1296152341554682e-05,0.7198637300675699,4.0699103640922604e-05,0.8889366796926131,2.1193041426944474e-05,1.7808337973479094e-05,0.9951582373681179
2014-05-20,2.0908636850371392e-05,0.722249457419663,4.2917214555904065e-05,0.8668612234950913,2.1635445773045523e-05,1.6274812276474347e-05,1.034761181605257
2014-05-21,2.119414789263069e-05,0.7332777826339726,4.3579272999489026e-05,0.8939048866370767,2.228519801560148e-05,1.6402031624662832e-05,1.0514788388048455
2014-05-22,2.007249814887391e-05,0.7345445540581084,4.18613529128387e-05,0.8873937895605782,2.1292442668673634e-05,1.6245619995284812e-05,1.06077691529732
