Symbol,MSE,RMSE,MAE,R2,N
DIA,2.2498502155127803e-05,0.0047432586009122256,0.003306448753689116,-2649.8442267145774,1264
PEP,6.5109804699688534e-06,0.00255166229543975,0.0019193685036396132,-2656.117517457832,1264
BDX,1.4111947066682165e-05,0.0037565871568063167,0.0027377045213933734,-2662.635686336692,1259
IWF,2.750828172156423e-05,0.0052448338125782624,0.003656698918702316,-2662.975989310228,1264
SCHW,5.111619126588956e-05,0.007149558816171076,0.005231803988926853,-2676.3566107885335,1264
MU,8.820880250471518e-05,0.009391954136638188,0.0066088946464538684,-2699.6628037504324,1264
XLP,1.0544301807984746e-05,0.003247199071197321,0.0023737021121915916,-2713.288862241376,1264
INTC,1.8888525678669972e-05,0.004346093151172668,0.0033846985974340152,-2715.1663448473832,1264
ILMN,3.822890785145862e-05,0.006182953004144429,0.0042109895385548145,-2729.974137748765,1264
XLV,1.972765535103301e-05,0.0044415825277746455,0.003196006052560003,-2732.6631398271284,1264
AAPL,1.9276394833470274e-05,0.004390489133737865,0.0032903076493739254,-2740.53195816282,1264
GOOG,1.8964804040546582e-05,0.004354859818702156,0.0035580065822716674,-2788.4340214778576,200
XLK,2.476530292227496e-05,0.00497647494942705,0.003585676943562763,-2791.5750901623505,1264
QQQ,2.720095463356167e-05,0.005215453444673979,0.00375870804713845,-2801.0302302649675,1264
BIIB,2.155286051221099e-05,0.0046425058440685875,0.003732035338932663,-2805.598692001015,1264
LOW,2.070091479525263e-05,0.004549825798341364,0.0034281431411644146,-2808.430018802511,1264
BKNG,2.7846715597507293e-05,0.005276998730102869,0.00407814291302097,-2819.814566328294,1264
IBB,3.0233860839410863e-05,0.005498532607833736,0.004045041932761686,-2834.42898331768,1264
VOO,2.9539677040956115e-05,0.0054350415859454205,0.0035204384174851223,-2864.715548868185,1092
GILD,2.077964058509118e-05,0.004558469105422475,0.0035784829382240276,-2865.9565410619207,1264
REGN,2.5116750079847814e-05,0.005011661409138472,0.004180609219612046,-2888.2781389580355,1258
HEDJ,1.979521348680297e-05,0.0044491812153252385,0.0033465191280043676,-2897.0474709928058,1227
AMZN,2.7992048132191506e-05,0.00529075118789303,0.004065493703899218,-2973.1868726483267,1264
WBA,1.257672226453734e-05,0.0035463674745487587,0.002841565687613816,-2980.862148276622,1264
ATVI,1.4099009210993503e-05,0.0037548647393739103,0.003032629572250385,-2987.4785003970483,1264
AMGN,1.5088536613857897e-05,0.0038843965572348425,0.0031494940953550824,-2993.8489656182023,1264
CELG,2.2239813595252372e-05,0.0047159106856738044,0.003844220537073751,-3048.3591558625917,1264
DXJ,1.749739061516088e-05,0.004182988239902293,0.0033767022217177467,-3055.5037552186686,1264
IEMG,9.202941455419563e-06,0.0030336350234363334,0.0024871570718002895,-3094.8982317163172,557
TXN,2.6555068838712514e-05,0.005153161053053991,0.004037512792037957,-3195.286239451795,1259
XIV,0.00013143744441709732,0.01146461706369198,0.00965592374612124,-3261.7039369602753,1035
UVXY,0.00039880581872385544,0.019970123152445892,0.01722020797324958,-3267.465913613288,822
FB,8.981300630139543e-06,0.0029968818178466,0.0024920998743005046,-3270.6743222920118,665
KMI,7.759363600737836e-06,0.00278556342608418,0.0023273704711225906,-3625.3389968072856,984
PANW,1.1101122971548572e-05,0.003331834775547637,0.0029669243961317282,-4076.281234068429,622
DBEF,8.349506928432981e-06,0.0028895513368744604,0.0024159760997566576,-4093.746358706826,823
IEFA,6.862288498864305e-06,0.0026195970107755705,0.0022394893602752514,-4099.939410851167,555
PSX,1.2425589747592221e-05,0.0035249949996549244,0.00307442520005399,-4150.872480063514,691
ABBV,1.1313985829837651e-05,0.0033636268862401566,0.0029569582008209154,-4640.961804920996,525
GM,4.734838398917159e-05,0.006881016203234199,0.00480600170703276,-5244.018394357271,1042
AAL,1.986298662185165e-05,0.004456791067780904,0.004172625462112652,-6537.3803859810105,274
BABA,1.7649358744131057e-05,0.004201113988471517,0.003740750629731039,-18675.01918805359,78
